dataset_type,primary_id,asset_id,hostname,device_type,department,location,operating_system,ip_address,mac_address,vlan,criticality,edr_installed,patch_level_days,owner_email,server_id,role,environment,os,cpu_cores,memory_gb,storage_tb,backup_enabled,network_id,vendor,firmware_version,management_ip,redundant_pair,status,control_id,control_type,platform,coverage_percent,owner_team,last_review_date,compliance_mapping,link_id,source_node,destination_node,link_type,bandwidth_mbps,latency_ms,encrypted,monitoring_enabled
devices,AST-1001,AST-1001,HR-DES-001,Desktop,HR,HQ-Tunis,Windows 11,10.17.58.36,2C:D8:10:0F:2F:6F,60.0,Low,Yes,35.0,user1@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1002,AST-1002,MAR-DES-002,Desktop,Marketing,Branch-Sfax,macOS Sonoma,10.27.108.57,8E:03:51:D8:AE:8E,40.0,Low,Yes,21.0,user2@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1003,AST-1003,HR-LAP-003,Laptop,HR,HQ-Tunis,Ubuntu 24.04,10.21.217.89,16:EB:3F:C1:28:96,50.0,High,Yes,36.0,user3@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1004,AST-1004,MAR-LAP-004,Laptop,Marketing,Branch-Sfax,Windows 11,10.31.59.198,77:33:C2:8E:E8:BA,30.0,Low,Yes,22.0,user4@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1005,AST-1005,MAR-LAP-005,Laptop,Marketing,Branch-Sfax,macOS Sonoma,10.39.175.166,57:7D:53:EC:C2:8A,10.0,High,Yes,43.0,user5@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1006,AST-1006,SUP-LAP-006,Laptop,Support,HQ-Tunis,Ubuntu 24.04,10.11.207.81,21:6C:A1:6C:FF:CA,40.0,High,No,9.0,user6@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1007,AST-1007,SAL-LAP-007,Laptop,Sales,HQ-Tunis,macOS Sonoma,10.27.138.68,DB:CC:B9:70:46:FC,60.0,Low,Yes,7.0,user7@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1008,AST-1008,FIN-LAP-008,Laptop,Finance,Branch-Sfax,Ubuntu 24.04,10.31.109.153,C3:EF:80:05:3A:88,10.0,High,Yes,7.0,user8@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1009,AST-1009,SAL-LAP-009,Laptop,Sales,Branch-Sousse,Ubuntu 24.04,10.10.245.185,5B:36:98:65:4E:BF,60.0,Low,Yes,38.0,user9@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1010,AST-1010,SUP-LAP-010,Laptop,Support,Branch-Sousse,Windows 11,10.39.93.225,1D:7B:28:2B:F8:23,30.0,High,Yes,8.0,user10@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1011,AST-1011,SEC-LAP-011,Laptop,Security,Branch-Sfax,Windows 11,10.26.224.156,66:9F:CC:BF:E0:E7,40.0,Low,Yes,14.0,user11@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1012,AST-1012,HR-LAP-012,Laptop,HR,Branch-Sousse,Windows 11,10.27.59.151,24:1E:75:22:10:A9,20.0,Low,Yes,17.0,user12@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1013,AST-1013,SEC-LAP-013,Laptop,Security,HQ-Tunis,macOS Sonoma,10.33.240.226,F2:7C:F2:D0:61:30,50.0,Low,No,22.0,user13@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1014,AST-1014,OPE-LAP-014,Laptop,Operations,Branch-Sousse,macOS Sonoma,10.33.14.173,32:1F:CE:AD:37:7F,60.0,Low,Yes,34.0,user14@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,AST-1015,AST-1015,SEC-LAP-015,Laptop,Security,HQ-Tunis,Ubuntu 24.04,10.18.119.64,32:19:07:2F:79:55,10.0,Medium,No,30.0,user15@corp-example.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
